id,en,fr
_this_is_a_source_it_is_currently_empty_do_you_want_to_house_the_spell,"This is a source. It is currently empty, do you want to house the Spell ","C'est une source. Elle est vide, veux-tu mettre le mot "
_inside_q_yes_no, inside? @QYes/No, dedans? @QOui/Non
_which_letter_corresponds_to_this_sound,Which letter corresponds to this sound?,Quelle letter correspond à ce son ?
_how_do_you_write_this_sound,How do you write this sound?,Comment écrit-on ce son ?
_how_do_you_pronounce_this_letter,How do you pronounce this letter?,Comment prononce-t-on cette lettre ?
_which_word_corresponds_to_this_sound,Which word corresponds to this sound?,Quel mot correspond à ce son ?
_do_you_want_to_use_your_spell_dtat_to_cut_this_bush_q_yes_no,Do you want to use your Spell ตัด to cut this bush? @QYes/No,Veux-tu utiliser le Mot ตัด pour couper ce buisson ?  @QOui/Non
_this_bush_can_be_cut_down_with_dtat,This bush could be cut down if you had the Spell ตัด with you.,Ce buisson pourrait être coupé si tu avais le Mot ตัด avec toi.
_well_done_name,Well done [Name]!,"Bien joué, [Name] !"
_now_your_test_will_be_to,"Now, your test will be to guess the meaning of all words you will find deeper in the forest.","À présent, ton test sera de deviner le sens des mots que tu trouveras dans la forêt."
_i_believe_four_types_of_spells_live_there,I believe four types of Spells live there.,Je crois qu'il y a quatre mots différents qui vivent là.
_good_luck_ill_watch_you_from_here,"Good luck, I'll watch you from here.","Bonne chance, je te regarderai depuis ici."
_my_mom_and_dad_are_at_home,"My mom and dad are at home, they’ll teach you sentences if you go see them!","Mes parents sont à la maison, ils te fileront des phrases si tu vas les voir !"
_but_later_follow_me_to_temple_first,"But later, follow me to the temple first!",Mais tu feras ça plus tard - suis-moi au temple d'abord !
_cool_right,"Cool, right?","Stylé, hein ?"
_my_grandmother_taught_me_this_spell,My grandmother taught me this Spell during my initiation.,Ma grand-mère m'a appris ce mot pendant mon initiation.
_by_the_way_i_saw_pet,Oh by the way I just saw Pet! This guy is always such a jerk!,"Au fait, tu sais quoi ? J'ai vu Pet tout à l'heure. Ce gars est toujours aussi chiant !"
_anyways_follow_me,Anyways. Follow me!,Bref. Suis-moi !
_name_how_was_your_shamanic_initiation,[Name]! How was your shamanic initiation?,[Name] ! Comment s'est passée ton initiation shamanique ?
_mine_went_well_too_my_grandma_taught_me_cool_stuff,Mine went well too! My grandmother has been teaching me super cool stuff!,La mienne s'est bien passée aussi. Ma grand-mère m'a appris plein de trucs cools !
_look_exclamation_mark,Look!,Regarde !
_oh_hey_name,"Oh, hey [Name].","Tiens, salut [Name]."
_what_you_finished_your_initiation,"What, you finished your initiation?","Quoi, tu viens de finir ton initiation ?"
_tch_took_you_long_mine_finished_thirty_minutes_ago,Tch. It took you long enough. I finished mine thirty minutes ago already.,"Pff, ça t'en a pris, du temps. Moi j'ai finis il y a trente minutes déjà."
_id_like_to_have_you_as_training_but_cant_match_intellect,I’d like to have you as a training partner but I doubt you’ll be able to match my intellect.,"J'aurais bien aimé qu'on s'entraîne ensemble, mais je doute que tu sois à mon niveau, ce serait trop facile pour moi."
_you_cant_even_write_bpai,"I’m guessing you don’t even know how to write a basic word such as ""bpai"". @Q ไท/ ปไ/ ไป/ ทไ","Je parie que tu ne sais même pas comment on écrit un mot basique comme ""bpai"" en thaï. @Q ไท/ ปไ/ ไป/ ทไ"
_see_bpai_is_written_i_go_to_chaiyaphum_loser,"See? ""bpai"" is written ไป. In any case, I’ve got important stuff to do in Chaiyaphum. Smell ya later, loser!","Tu vois ? ""bpai"" s'écrit ไป. Bon, j'ai des trucs à faire à Chaiyaphum, alors à plus, loser !"
_hmph_yeah_anyway_i_to_to_chaiyaphum_loser,"Hmph, yeah. In any case, I’ve got important stuff to do in Chaiyaphum. Smell ya later, loser!","Mouais. Bon, j'ai des trucs à faire à Chaiyaphum, alors à plus, loser !"
_welcome_back_name,"Welcome back, [Name].","Bon retour, [Name]."
_you_can_always_go_back_to_your_memory_palace,You can always go back to your Memory Palace using the button on the right-side of your screen.,Tu pourras toujours retourner dans le monde lexical en cliquant sur le bouton sur ton écran.
_for_now_follow_me_into_the_forest,"For now, follow me into the forest.","Pour l'instant, suis-moi dans la forêt."
_i_should_talk_to_my_grandmother_first,I should talk to my grandmother first...,Je devrais d'abord parler à ma grand-mère...
_i_shouldnt_go_there_now,I shouldn't go there now...,Je ne devrais pas aller ici maintenant...
_you_shouldnt_go_there_before_you_know_letters,"[Name], you shouldn't go there before you learn the letters น, ท, ย, ค and ไ-, it would be too dangerous.","[Name], ce serait trop dangereux d'aller par là avant de connaître les lettres น, ท, ย, ค et ไ-. "
_click_on_the_letter_tab_to_use_the_letter_scroll,Click on the letter tab on the right to use the Letter scroll.,Clique sur l'onglet Lettres sur la droite pour utiliser le parchemin des lettres.
_yaai_2_a,"Here's the place for your shamanic initiation, and now is the time.",Nous sommes arrivés - commençons ton initiation shamanique.
_yaai_2_b,you will forget everything you know of the Thai language and you’ll have to learn Thai again from scratch.,"Tu oublieras tout ce que tu sais du thaï, et il te faudra réapprendre le thaï depuis le début."
_yaai_2_c,"And in exchange, you will gain power over the spirit world.","En échange, tu obtiendras le pouvoir de commander le monde spirituel."
_yaai_2_d,Let's start!,C'est parti !
_yaai_3_learn_letters_a,You see the Letter tab on the right of your screen?,Tu vois l'onglet Lettres sur la droite de l'écran ?
_yaai_3_learn_letters_b,"Click it to open your letter scroll and learn the letters น, ท, ย, ค and ไ-.","Clique dessus pour ouvrir le parchemin et apprendre les lettres น, ท, ย, ค et ไ-."
_name_you_see_this_sentence,"Congratulations [Name], now that you've learned these letters, we can start.","[Name], félicitations ! Maintenant que tu connais ces lettres, entrons dans le vif du sujet."
_this_is_your_first_since_forgotten_thai,"Deeper in the forest, you'll find Spells, for the first time.","Plus profond dans la forêt tu verras, pour la première fois, des mots."
_this_means_thai_people_are_good,"Your task will be to learn them, and tame them.",Ta tâche sera des les apprivoiser.
_sentences_like_this_help_you_understand_the_meaning_of_words,"So that you can understand them, I'll teach you your first sentence in Thai.","Pour que tu puisses les comprendre, je vais t'enseigner ta première phrase en thaï."
_here_we_go,Here we go!,C'est parti !
_im_so_happy_for_pet_initiation_went_well,"I’m so happy for Pet, his shamanic initiation went well.","Je suis tellement contente pour Pet, son initiation chamanique s'est bien passée."
_hes_in_chaiyaphum_tell_him_to_drop_by,"He’s just left to go to Chaiyaphum, tell him to drop by if you meet him!","Il vient de partir à Chaiyaphum, dis-lui de passer à la maison si tu le vois !"
_sorry_shop_closed_today,"Sorry, the shop is closed today, come again tomorrow!","Désolé, le magasin est fermé aujourd'hui, repasse demain !"
_looking_for_letters,Looking for letters: ,Trouve les lettres : 
_found_required_letters,Found all required letters,Toutes les lettres requises sont trouvées
_names_takes_door_to,[Name] takes the door to the ,[Name] prend la porte menant au 
_vowels,Vowels,Voyelles
_tones,Tones,Tons
_numbers,Numbers,Chiffres
_accents,Accents,Accents
_high_class_consonants,High Class Consonants,Consonnes de haute classe
_mid_class_consonants,Mid Class Consonants,Consonnes de moyenne classe
_low_class_consonants,Low Class Consonants,Consonnes de basse classe
_you_found_letter_s_you_put_it_in_bag_come_in_handy_later,You've found the letter %s! You keep it with you. It can be used to create Spells!,Tu as trouvé la lettre %s. Tu la gardes avec toi. On peut s'en servir pour invoquer des Mots !
_i_came_here_to_get_help_from_the_shamans,I came here to get some help from the shamans.,Je suis venue ici pour chercher l'aide des chamans.
_hey_name_long_time_no_see_heres_a_sentence_for_you,"Hey [Name], long time no see! Here's a sentence for you to learn:","Salut [Name], ça faisait longtemps ! Tiens, voilà une phrase pour toi :"
_you_want_to_learn_a_sentence_how_about,"So, you want to learn a Sentence? How about :","Alors, tu veux apprendre une phrase ? Qu'est-ce que tu dis de celle-là :"
_hey_my_name_is_som,"Hey, my name is Som, I just moved here recently.","Salut, je m'appelle Som, on vient d'emménager ici."
_heres_a_sentence_for_you,"Oh, you're learning Thai? Here's a Thai sentence for you:","Oh, tu apprends le thaï ? Je peux t'enseigner une phrase si tu veux :"
_congrats_reached_end_game,"Congratulations, you've reached the end of the game!","Félicitations, tu as atteint la fin du jeu !"
_pronunciation,Pronunciation,Prononciation
_standard_font,Standard font,Police standard
_modern_font,Moderne font,Police moderne
_consonant_class,Consonant class,Classe de la consonne
_how_to_remember_it,How to remember it:,Astuce pour s'en souvenir :
_this_is_temple_bookshelf,"This is full of books about Spells, Spirits, Sources and Buddhism.","C'est plein de livres sur les Mots, les Esprits, les Sources et le Bouddhisme."
_it_looks_like_somebody_else_uses_this_computer,It looks like somebody else is using this computer.,On dirait que quelqu'un d'autre utilise cet ordinateur.
_name_turns_the_computer_on,[Name] turns the computer on.,[Name] allume l'ordinateur.
_select_sentence_to_analyse,Select the sentence you want to analyze,Sélectionne la phrase que tu veux analyser.
_i_translate_sentences_you_want_to_help,"Hey [Name], I'm trying to translate some sentences into English, you want to help?","Salut [Name], je suis en train d'essayer de traduire des phrases en français, tu veux m'aider ?"
_submit,Submit,Valider
_hmm_no_i_think_its_a_different_sentence,"Hmm, no, this doesn't fit with what I know, I think it's a bit different.","Hmm, non, certains mots ne vont pas, cette phrase n'a pas l'air d'aller."
_hmm_yeah_i_thnk_this_is_the_sentence,"Hmm, yes [Name], I believe this is it! It's also corrolated by my research!","Oui [Name], je crois que c'est ça ! C'est aussi en accord avec mes recherches."
_word_matching,Words matching,Pairer les mots
_sentence_translation,Sentence translation,Traduction
_speech_recognition,Speech recognition,Reconnaissance vocale
_all_done,All done!,Séance terminée !
_hey_name_wanna_buy_something,"Hey [Name], how are you? You're buying something?","Hey [Name], ça va ? Tu achètes quelque chose ?"
_buy,Buy,Acheter
_cancel,Cancel,Annuler
_your_money,Your money: ,Ton argent : 
_in_bag,In the bag: ,Dans ton sac : 
_close,Close,Fermer
_letters_are_used_for,Letters are used to make Spells.,Les Lettres sont utilisées pour fabriquer des Mots.
_letter_,Letter ,Lettre 
_this_emits_an_evil_aura,"This seems to be made of stray letters. It's very agitated, and emits a dark aura...","On dirait que c'est composé de lettres égarées. C'est très agité, et ça émet une aura maléfique..."
_the_shard_attacks,Oh no! It attacks!,Oh non ! Ça attaque !
_this_road_leads_to_mohinkhao,This path leads to the rock formations of มอหินขาว (Mo Hin Khao). [sound:มอหินขาว],Ce chemin mène aux formations rocheuses de มอหินขาว (Mo Hin Khao). [sound:มอหินขาว]
_hey_name_long_time_no_see_in_internet_cafe,"Hey [Name], how are you doing? It's been a while since I last saw you in my internet café.","Salut [Name], la forme ? Ça fait longtemps que je t'ai pas vu dans mon café internet !"
_computer_cost_10_bahts,"As always, you can use the computer for only 10 Bahts.","Comme d'hab, tu peux utiliser les ordis pour juste 10 Bahts."
_pet_money_dialog_1,I'd like to buy some letters to make a Spell but I don't have enough money...,J'aimerais bien acheter des lettres pour invoquer un Mot mais j'ai pas assez d'argent...
_pet_money_dialog_2,"Be nice [Name], give me 15 bahts. @QOK/No","Allez sois sympa [Name], passe-moi 15 bahts. @QOK/Non"
_pet_money_dialog_not_enough,You don't even have 15 bahts? What a loser.,T'as même pas 15 bahts ? Quel loser !
_pet_money_dialog_ok_1,[ShowNoName][Name] gives 15 bahts to Pet.,[ShowNoName][Name] donne 15 bahts à Pet.
_pet_money_dialog_ok_2,"Ha! You actually gave me the money! You know you won't get it back, right?","Ha, j'y crois même pas que tu le fasses. J'te les rendrai pas, tu le sais ?"
_see_letters,Letters,Lettres
_see_words,Words,Mots
_see_sentences,Sentences,Phrases
_go_to_letter_world,Go the the letter world,Aller dans le monde des lettres
_quests,Objectives,Objectifs
_use_spell,Use a Spell,Utilise un Mot
_make_spell,Make a Spell,Fabrique un Mot
_save_the_game,Save the game,Sauvegarder la partie
_next_page,Next page,Page suivante
_previous_page,Previous page,Page précédente
_plural_dialog_1,"So, you're learning Thai? Isn't it interesting how there's no plural in Thai?","Oh, tu apprends le thaï? C'est marrant qu'on n'ait pas de pluriel en thaï, non ?"
_plural_dialog_2,"By default, we don't say whether there's one or more things.","Par défaut, on ne précise pas s'il y a une seule chose, ou plus."
_plural_dialog_3,"For me, it's English that's weird as you always have to specify if there's one or more things.","Pour moi, c'est le français qui est bizarre, vu qu'il faut toujours préciser !"
_create_spell,Create Spell,Créer le Mot
_select_spell_to_cast,Select the Spell you want to cast,Choisis le Mot magique que tu veux utiliser
_how_do_you_read_this,How do you read this?,Comment lit-on ce mot ?
_load_saved_game,Load saved game,Continuer depuis la sauvegarde
_back,Back,Retour
_how_do_you_write_this_in_thai,How do you write this in Thai:,Comment écris-tu ce mot en Thaï :
_you_have_befriended_that_spell,You have befriended the Spell %s. It follows you now!,Le mot %s est devenu ton ami. Il te suit maintenant !
_my_house,My house,Ma maison
_chaiyaphum,Chaiyaphum,Chaiyaphum
_chaiyaphum_city,Chaiyaphum city,Ville de Chaiyaphum
_players_house,House of [Name],Maison de [Name]
_chaiyaphum_forest,Chaiyaphum's forest,Forêt de Chaiyaphum
_nam_phong_national_park,Nam Phong National Park,Parc National de Nam Phong
_ploys_house,Ploy's house,Maison de Ploy
_soms_house,Som's house,Maison de Som
_chaiyaphum_temple,Chaiyaphum's temple,Temple de Chaiyaphum
_phu_lan_kha_national_park,Phu Lan Kha National Park,Parc National de Phu Lan Kha
_do_you_want_to_sleep_free,"Do you want to sleep? It will heal you, and reset your spawn point. @QYes/No","Veux-tu dormir dedans ? Tu restaureras tes points de vie, et réapparaitras ici si tu perds tous tes points de vie. @QOK/Non"
_there_is_a_mat_on_the_floor,There is a mat on the floor.,Il y a un tapis par terre.
_the_pronoun_you_use,The pronoun you use,Le pronom que vous utilisez
_masculine,Masculine,Masculin
_feminine,Feminine,Féminin
_inter_1_1,"Oh, you're learning Thai? Amazing!","Oh, t'apprends le Thaï ? Trop cool !"
_inter_1_2,"I'll tell you a sentence and you'll have to guess the meaning,","Je vais te dire une phrase en thaï et tu devras essayer de la comprendre,"
_inter_1_3,"but first, you should know that ฉัน means ""me"" or ""I"", if you're a female.","mais d'abord, faut que t'apprennes ฉัน - ça veut dire ""je"" ou ""moi"", quand on est une femme."
_inter_1_4,"Also, ชอบ means ""to like something""! Okay, here we go!","Ah et aussi, ชอบ veut dire ""aimer"", ou ""apprécier"". Allez, c'est parti !"
_inter_2_1,I'll tell you a sentence as well.,"Je vais te dire une phrase, moi aussi."
_inter_2_2,"You'll need to know that ผม is one of the ways to say ""me"" or ""I"" if you're a male.","Sache que ผม est l'une des façons de dire ""je"" ou ""moi"" quand on est un homme."
_i_dont_know,I don't know,J'en sais rien
_inter_0_1,You're relearning Thai from scratch? Then let me tell you something I truly believe in:,Tu réapprends le Thaï ? Alors laisse-moi te dire quelque chose en quoi je crois vraiment :
_consonants,Consonants,Consonnes
_now_go_in_the_forest_to_learn_the_words,"Wonderful! Now, go in the forest, find the words, and learn them all.","Excellent ! À présent, va dans la forêt, trouve les mots, et apprends les tous !"
_before_you_go_there_learn_the_letters_1,"No [Name], before you go there, you should learn the letters using the scroll I gave you.","Non, [Name], avant que tu n'ailles là-bas, tu devrais apprendre les lettres avec le parchemin que je t'ai donné."
_before_you_go_there_learn_the_letters_2,"Click on the Letters tab on the right side, and learn the following letters: น, ท, ย, ค, ไ-.","Clique sur l'onglet Lettres sur la droite, et apprends les lettres suivantes : น, ท, ย, ค, ไ-."
_before_you_go_there_learn_the_words,"[Name], before you go there, you should go find the words in the forest, and learn them all.","[Name], avant de partir, tu devrais aller trouver les mots dans la forêt, et les apprendre tous !"
_map,Thailand map,Carte de la Thaïlande
_yaai_i_should_teach_sentence,"Ah, but first, I should teach you your first Thai sentence, it'll make your task easier.","Ah, mais d'abord, je devrais t'enseigner ta première phrase en thaï, ça rendra ta tâche plus facile."
_how_are_you_doing_name,"How are you doing, [Name].","Comment ça va, [Name] ?"
_huai_khe_waterfall,Huai Khe Waterfall - น้ำตกห้วยเข [sound:น้ำตกห้วยเข],Cascade de Huai Khe - น้ำตกห้วยเข [sound:น้ำตกห้วยเข]
_known_words,Known words: ,Mots connus : 
_palace,Mind Palace,Palais de la mémoire
_leave_palace,Leave Mind Palace,Sortir du Palais
